INSTNM,SAT_AVG_2012,ADM_RATE_2012,UGDS_2012,CONTROL_2012,COSTT4_A_2012,C150_4_2012,PREDDEG_2012,CITY,STABBR
Connors State College,NULL,NULL,1886,1,11272,NULL,2,Warner,OK
East Central University,970,0.954,3801,1,13274,0.3322,3,Ada,OK
Eastern Oklahoma State College,NULL,NULL,1596,1,8442,NULL,2,Wilburton,OK
Redlands Community College,NULL,NULL,1767,1,11728,NULL,2,El Reno,OK
Enid Beauty College,NULL,NULL,40,3,NULL,NULL,1,Enid,OK
Eves College of Hairstyling,NULL,NULL,98,3,NULL,NULL,1,Lawton,OK
Hillsdale Free Will Baptist College,887,0.4518,206,2,21922,0.386,2,Moore,OK
Hollywood Cosmetology Center,NULL,NULL,21,3,NULL,NULL,1,Norman,OK
Langston University,NULL,NULL,1991,1,15494,0.1614,3,Langston,OK
Murray State College,NULL,NULL,1861,1,13000,NULL,2,Tishomingo,OK
Spartan College of Aeronautics and Technology,NULL,1,996,3,24361,0.403,1,Tulsa,OK
Northeastern State University,970,0.757,7344,1,12835,0.3032,3,Tahlequah,OK
Beauty Technical College Inc,NULL,NULL,44,3,NULL,NULL,1,Tahlequah,OK
Northern Oklahoma College,NULL,NULL,3972,1,10284,NULL,2,Tonkawa,OK
Northeastern Oklahoma A&M College,NULL,NULL,2284,1,12548,NULL,2,Miami,OK
Northwestern Oklahoma State University,950,0.734,1993,1,12318,0.3086,3,Alva,OK
Oklahoma State University Center for Health Sciences,NULL,NULL,NULL,1,NULL,NULL,4,Tulsa,OK
Oklahoma Christian University,1115,0.4471,1862,2,28490,0.5039,3,Edmond,OK
University of Oklahoma Health Sciences Center,NULL,NULL,871,1,NULL,NULL,3,Oklahoma City,OK
Oklahoma Panhandle State University,864,0.6141,1287,1,11346,0.2032,3,Goodwell,OK
Oklahoma State University-Main Campus,1135,0.7756,20103,1,20574,0.622,3,Stillwater,OK
Oklahoma State University-Oklahoma City,NULL,NULL,6619,1,11586,0.0494,2,Oklahoma City,OK
Oklahoma Baptist University,1077,0.6197,1710,2,30600,0.518,3,Shawnee,OK
Oklahoma City Community College,NULL,NULL,13201,1,12594,NULL,2,Oklahoma City,OK
Oklahoma City University,1151,0.6975,2071,2,42290,0.5621,3,Oklahoma City,OK
University of Oklahoma Norman Campus,1182,0.7914,20701,1,22467,0.6642,3,Norman,OK
Oklahoma School of Photography,NULL,NULL,32,3,NULL,NULL,1,Moore,OK
Oklahoma State University Institute of Technology-Okmulgee,NULL,NULL,2917,1,10612,0.2487,2,Okmulgee,OK
Oral Roberts University,1047,0.5933,2782,2,32320,0.5069,3,Tulsa,OK
Tulsa Technology Center-Peoria Campus,NULL,NULL,436,1,NULL,NULL,1,Tulsa,OK
Platt College-Central OKC,NULL,NULL,248,3,NULL,NULL,1,Oklahoma City,OK
Rogers State University,950,0.5483,4271,1,15924,0.1648,3,Claremore,OK
Rose State College,NULL,NULL,7159,1,12773,NULL,2,Midwest City,OK
Saint Gregorys University,954,0.4265,670,2,31286,0.2588,3,Shawnee,OK
Standard Beauty College of Oklahoma LLC,NULL,NULL,120,3,NULL,NULL,1,Sand Springs,OK
University of Science and Arts of Oklahoma,1050,0.3853,963,1,13638,0.4087,3,Chickasha,OK
Seminole State College,NULL,NULL,1726,1,15812,NULL,2,Seminole,OK
Southern School of Beauty Inc,NULL,NULL,31,3,NULL,NULL,1,Durant,OK
Southeastern Oklahoma State University,970,0.7492,3587,1,14288,0.3003,3,Durant,OK
Southwestern Christian University,969,0.8826,603,2,23250,0.1778,3,Bethany,OK
Southwestern Oklahoma State University,990,0.9091,4124,1,15834,0.3626,3,Weatherford,OK
Tulsa Community College,NULL,NULL,15818,1,11211,NULL,2,Tulsa,OK
Tulsa Welding School-Tulsa Campus,NULL,NULL,989,3,NULL,NULL,1,Tulsa,OK
University of Tulsa,1271,0.4072,3117,2,44522,0.6616,3,Tulsa,OK
Virgils Beauty College,NULL,NULL,43,3,NULL,NULL,1,Muskogee,OK
Indian Capital Technology Center-Tahlequah,NULL,NULL,223,1,NULL,NULL,1,Tahlequah,OK
Western Oklahoma State College,NULL,NULL,1579,1,12154,NULL,2,Altus,OK
Woodward Beauty College,NULL,NULL,29,3,NULL,NULL,1,Woodward,OK
High Plains Technology Center,NULL,NULL,69,1,NULL,NULL,1,Woodward,OK
Academy of Hair Design Inc,NULL,NULL,56,3,NULL,NULL,1,Salem,OR
Abdill Career College Inc,NULL,NULL,76,3,NULL,NULL,1,Medford,OR
The Art Institute of Portland,NULL,0.8782,1542,3,31018,0.2967,3,Portland,OR
Beau Monde College of Hair Design,NULL,NULL,136,3,NULL,NULL,1,Portland,OR
Blue Mountain Community College,NULL,NULL,1745,1,13434,NULL,2,Pendleton,OR
Central Oregon Community College,NULL,NULL,6607,1,13676,NULL,2,Bend,OR
Chemeketa Community College,NULL,NULL,10648,1,12240,NULL,2,Salem,OR
Clackamas Community College,NULL,NULL,7630,1,7358,NULL,2,Oregon City,OR
Clatsop Community College,NULL,NULL,737,1,12966,NULL,2,Astoria,OR
College of Hair Design Careers,NULL,NULL,73,3,NULL,NULL,1,Salem,OR
Concorde Career College-Portland,NULL,1,912,3,NULL,NULL,1,Portland,OR
Concordia University-Portland,1027,0.5317,1332,2,34865,0.4457,3,Portland,OR
Sumner College,NULL,NULL,249,3,NULL,NULL,1,Portland,OR
East West College of the Healing Arts,NULL,NULL,243,3,NULL,NULL,1,Portland,OR
Eastern Oregon University,978,0.6505,3596,1,18529,0.3191,3,La Grande,OR
Phagans School of Hair Design-Portland,NULL,NULL,154,3,NULL,NULL,1,Portland,OR
New Hope Christian College,NULL,0.2917,207,2,20134,0.3611,3,Eugene,OR
George Fox University,1115,0.7549,2165,2,41001,0.6434,3,Newberg,OR
Phagans Grants Pass College of Beauty,NULL,NULL,53,3,NULL,NULL,1,Grants Pass,OR
ITT Technical Institute-Portland,NULL,0.6983,725,3,26231,0.2397,2,Portland,OR
Lane Community College,NULL,NULL,9957,1,13542,NULL,2,Eugene,OR
Lewis & Clark College,NULL,0.642,2039,2,51458,0.7618,3,Portland,OR
Linfield College-McMinnville Campus,1088,0.8281,1608,2,43466,0.6719,3,McMinnville,OR
Linn-Benton Community College,NULL,NULL,5708,1,12788,NULL,2,Albany,OR
Northwest College,NULL,NULL,69,3,NULL,NULL,1,Beaverton,OR
Marylhurst University,NULL,NULL,745,2,30662,0.375,3,Marylhurst,OR
Phagans Medford Beauty School,NULL,NULL,88,3,NULL,NULL,1,Medford,OR
Northwest College of Hair Design,NULL,NULL,144,3,NULL,NULL,1,Clackamas,OR
Mount Angel Seminary,NULL,0.8667,77,2,31075,1,3,Saint Benedict,OR
Mt Hood Community College,NULL,NULL,9099,1,12482,NULL,2,Gresham,OR
Multnomah University,1042,0.7111,503,2,31949,0.4459,3,Portland,OR
National College of Natural Medicine,NULL,NULL,NULL,2,NULL,NULL,4,Portland,OR
Northwest Nannies Institute,NULL,0.9333,31,3,NULL,NULL,1,Lake Oswego,OR
Northwest Christian University,993,0.663,451,2,32881,0.4848,3,Eugene,OR
Oregon Health & Science University,NULL,NULL,825,1,NULL,NULL,3,Portland,OR
Oregon Institute of Technology,1010,0.6413,3326,1,18740,0.4838,3,Klamath Falls,OR
Oregon College of Art and Craft,NULL,0.8169,152,2,35484,0.5,3,Portland,OR
Oregon State University,1095,0.7765,21096,1,21271,0.609,3,Corvallis,OR
University of Oregon,1107,0.7296,20464,1,21638,0.6733,3,Eugene,OR
Pacific Northwest College of Art,NULL,0.5785,446,2,41530,0.2222,3,Portland,OR
Pacific University,1103,0.8454,1670,2,45410,0.625,3,Forest Grove,OR
Phagans Beauty College,NULL,NULL,66,3,NULL,NULL,1,Corvallis,OR
Phagans Central Oregon Beauty College,NULL,NULL,162,3,NULL,NULL,1,Bend,OR
Phagans School of Beauty,NULL,NULL,64,3,NULL,NULL,1,Salem,OR
Phagans School of Hair Design,NULL,NULL,147,3,NULL,NULL,1,Happy Valley,OR
Phagans Tigard Beauty School,NULL,NULL,33,3,NULL,NULL,1,Tigard,OR
Portland Community College,NULL,NULL,30087,1,12390,NULL,2,Portland,OR
Portland State University,1045,0.6627,20151,1,19594,0.4131,3,Portland,OR
University of Portland,1190,0.6652,3374,2,50352,0.7376,3,Portland,OR
Reed College,1379,0.3593,1390,2,55635,0.7412,3,Portland,OR
Rogue Community College,NULL,NULL,4647,1,13602,NULL,2,Grants Pass,OR
Roseburg Beauty College,NULL,NULL,38,3,NULL,NULL,1,Roseburg,OR
Pioneer Pacific College,NULL,NULL,1364,3,23749,0.6018,2,Wilsonville,OR
Springfield College of Beauty,NULL,NULL,78,3,NULL,NULL,1,Springfield,OR
Southern Oregon University,1022,0.7456,4639,1,18079,0.3154,3,Ashland,OR
Southwestern Oregon Community College,NULL,NULL,1677,1,13500,NULL,2,Coos Bay,OR
Treasure Valley Community College,NULL,NULL,2423,1,13321,NULL,2,Ontario,OR
Umpqua Community College,NULL,NULL,1811,1,15017,NULL,2,Roseburg,OR
Warner Pacific College,982,0.5776,551,2,29694,0.5405,3,Portland,OR
Corban University,1048,0.3404,917,2,37486,0.5479,3,Salem,OR
College of Cosmetology,NULL,NULL,95,3,NULL,NULL,1,Klamath Falls,OR
Everest College-Portland,NULL,NULL,315,3,25597,NULL,2,Portland,OR
Western Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Portland,OR
Willamette University,1235,0.831,1964,2,50402,0.7676,3,Salem,OR
Western Oregon University,940,0.8762,5320,1,20941,0.4453,3,Monmouth,OR
University of Western States,NULL,NULL,47,2,NULL,1,1,Portland,OR
Abington Memorial Hospital Dixon School of Nursing,NULL,NULL,233,2,NULL,NULL,1,Willow Grove,PA
Jolie Hair And Beauty Academy-Hazleton,NULL,NULL,93,3,NULL,NULL,1,Hazleton,PA
Keystone Technical Institute,NULL,NULL,294,3,NULL,NULL,2,Harrisburg,PA
Bryn Athyn College of the New Church,1000,0.4539,241,2,25306,0.5,3,Bryn Athyn,PA
Academy of Vocal Arts,NULL,NULL,NULL,2,NULL,NULL,0,Philadelphia,PA
Albright College,1057,0.4675,2172,2,45126,0.5262,3,Reading,PA
All-State Career School-Lester,NULL,NULL,391,3,NULL,NULL,1,Lester,PA
Community College of Allegheny County,NULL,NULL,18447,1,9901,NULL,2,Pittsburgh,PA
Allegheny College,1202,0.6327,2112,2,48287,0.7772,3,Meadville,PA
The Vision Academy,NULL,NULL,90,3,NULL,NULL,1,Allentown,PA
DeSales University,1085,0.7157,2468,2,43396,0.676,3,Center Valley,PA
Altoona Beauty School Inc,NULL,NULL,143,3,NULL,NULL,1,Altoona,PA
Alvernia University,954,0.8047,2123,2,39982,0.5067,3,Reading,PA
Magnolia School,NULL,NULL,147,3,NULL,NULL,1,Ambler,PA
Antonelli Institute,NULL,NULL,176,3,30021,NULL,2,Erdenheim,PA
The Art Institutes of York-PA,NULL,0.6711,554,3,31322,0.6338,3,York,PA
The Art Institute of Philadelphia,NULL,0.4656,2853,3,31636,0.3453,3,Philadelphia,PA
Career Training Academy-New Kensington,NULL,NULL,139,3,NULL,NULL,1,New Kensington,PA
The Art Institute of Pittsburgh,NULL,0.5087,1941,3,32726,0.4035,3,Pittsburgh,PA
Automotive Training Center,NULL,NULL,358,3,NULL,NULL,1,Exton,PA
Baptist Bible College & Seminary of Pennsylvania,1011,0.412,709,2,26969,0.4651,3,Clarks Summit,PA
Community College of Beaver County,NULL,NULL,1771,1,12353,NULL,2,Monaca,PA
Arcadia University,1104,0.5661,2288,2,46966,0.6503,3,Glenside,PA
Biblical Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Hatfield,PA
Bidwell Training Center Inc,NULL,0.8,152,2,NULL,NULL,1,Pittsburgh,PA
Bloomsburg University of Pennsylvania,1005,0.6293,9044,1,21350,0.6417,3,Bloomsburg,PA
Bradford School,NULL,0.8807,465,3,27108,NULL,2,Pittsburgh,PA
Bryn Mawr College,1299,0.4136,1313,2,55714,0.8184,3,Bryn Mawr,PA
Bucknell University,1306,0.2699,3499,2,57140,0.9045,3,Lewisburg,PA
Bucks County Community College,NULL,NULL,9693,1,12053,NULL,2,Newtown,PA
Buck's County School of Beauty Culture Inc,NULL,NULL,85,3,NULL,NULL,1,Feasterville,PA
Butler Beauty School,NULL,NULL,38,3,NULL,NULL,1,Butler,PA
Butler County Community College,NULL,NULL,3544,1,6902,NULL,2,Butler,PA
Cabrini College,920,0.7266,1379,2,47535,0.4802,3,Radnor,PA
California University of Pennsylvania,965,0.5914,6646,1,22822,0.5056,3,California,PA
Calvary Baptist Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Lansdale,PA
Cambria-Rowe Business College-Johnstown,NULL,NULL,129,3,20674,NULL,2,Johnstown,PA
Carlow University,933,0.4867,1468,2,34033,0.5573,3,Pittsburgh,PA
Carnegie Mellon University,1409,0.2777,5848,2,57520,0.8677,3,Pittsburgh,PA
Cedar Crest College,993,0.6111,1310,2,38982,0.6102,3,Allentown,PA
Central Penn College,NULL,0.3486,1340,3,24320,0.4048,3,Summerdale,PA
Chatham University,NULL,0.5956,677,2,42408,0.585,3,Pittsburgh,PA
Chestnut Hill College,982,0.8999,1556,2,40295,0.472,3,Philadelphia,PA
Cheyney University of Pennsylvania,NULL,NULL,1210,1,21715,0.2288,3,Cheyney,PA
Kaplan Career Institute-Franklin Mills,NULL,NULL,749,3,NULL,NULL,1,Philadelphia,PA
Citizens School of Nursing,NULL,NULL,174,2,NULL,NULL,1,New Kensington,PA
Clarion University of Pennsylvania,915,0.4666,5337,1,19650,0.4811,3,Clarion,PA
YTI Career Institute-Capital Region,NULL,NULL,290,3,NULL,NULL,1,Mechanicsburg,PA
Conemaugh Valley Memorial Hospital,NULL,NULL,212,2,NULL,NULL,1,Johnstown,PA
Consolidated School of Business-York,NULL,NULL,122,3,NULL,NULL,2,York,PA
Curtis Institute of Music,NULL,0.1107,125,2,19047,1,3,Philadelphia,PA
Dean Institute of Technology,NULL,NULL,165,3,22258,NULL,2,Pittsburgh,PA
Delaware County Community College,NULL,NULL,13051,1,13018,NULL,2,Media,PA
Delaware Valley College,995,0.7444,1894,2,43315,0.5794,3,Doylestown,PA
Dickinson College,1284,0.4004,2340,2,56360,0.846,3,Carlisle,PA
The Dickinson School of Law of the Pennsylvania State University,NULL,NULL,NULL,1,NULL,NULL,4,Carlisle,PA
Douglas Education Center,NULL,NULL,259,3,32266,NULL,2,Monessen,PA
Drexel University,1216,0.7486,15593,2,52535,0.6534,3,Philadelphia,PA
Du Bois Business College-Du Bois,NULL,NULL,80,3,16730,NULL,2,Du Bois,PA
Everest Institute-Pittsburgh,NULL,NULL,587,3,21220,NULL,1,Pittsburgh,PA
Duquesne University,1122,0.7471,5805,2,40474,0.7737,3,Pittsburgh,PA
East Stroudsburg University of Pennsylvania,975,0.8061,6289,1,19447,0.5722,3,East Stroudsburg,PA
Eastern University,1043,0.6661,2637,2,38088,0.6012,3,Saint Davids,PA
Edinboro University of Pennsylvania,981,0.4389,5992,1,19886,0.4183,3,Edinboro,PA
Elizabethtown College,1109,0.6961,1857,2,45080,0.7405,3,Elizabethtown,PA
Empire Beauty School-State College,NULL,NULL,47,3,NULL,NULL,1,State College,PA
Empire Beauty School-Lebanon,NULL,NULL,39,3,NULL,NULL,1,Lebanon,PA
Empire Beauty School-York,NULL,NULL,151,3,NULL,NULL,1,York,PA
Empire Beauty School-Lancaster,NULL,NULL,117,3,NULL,NULL,1,Lancaster,PA
Empire Beauty School-Williamsport,NULL,NULL,54,3,NULL,NULL,1,Williamsport,PA
Empire Beauty School-Shamokin Dam,NULL,NULL,52,3,NULL,NULL,1,Shamokin Dam,PA
Empire Beauty School-Pottsville,NULL,NULL,48,3,NULL,NULL,1,Pottsville,PA
Empire Beauty School-Lehigh Valley,NULL,NULL,139,3,NULL,NULL,1,Whitehall,PA
Empire Beauty School-Gwinnett,NULL,NULL,139,3,NULL,NULL,1,Lawrenceville,GA
Empire Beauty School-Wyoming Valley,NULL,NULL,202,3,NULL,NULL,1,Moosic,PA
Empire Beauty School-Warminster,NULL,NULL,87,3,NULL,NULL,1,Warminster,PA
Empire Beauty School-Harrisburg,NULL,NULL,160,3,NULL,NULL,1,Harrisburg,PA
Empire Beauty School-Reading,NULL,NULL,141,3,NULL,NULL,1,Reading,PA
Erie Business Center-Erie,NULL,0.9112,237,3,14600,NULL,1,Erie,PA
Erie Institute of Technology Inc,NULL,NULL,232,3,22890,NULL,2,Erie,PA
Evangelical Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Myerstown,PA
Aria Health School of Nursing,990,0.75,195,2,20579,NULL,1,Trevose,PA
Franklin and Marshall College,NULL,0.3931,2313,2,56580,0.8337,3,Lancaster,PA
Gannon University,1030,0.8313,2674,2,37105,0.6633,3,Erie,PA
Geneva College,1067,0.7229,1536,2,32895,0.6271,3,Beaver Falls,PA
Gettysburg College,1283,0.4028,2591,2,53790,0.8411,3,Gettysburg,PA
Empire Beauty School-Exton,NULL,NULL,82,3,NULL,NULL,1,Exton,PA
Empire Beauty School-Laurel Springs,NULL,NULL,136,3,NULL,NULL,1,Laurel Springs,NJ
Empire Beauty School-NE Philadelphia,NULL,NULL,219,3,NULL,NULL,1,Philadelphia,PA
Gratz College,NULL,NULL,29,2,NULL,1,1,Melrose Park,PA
Gwynedd Mercy College,962,0.6637,2183,2,37339,0.6213,3,Gwynedd Valley,PA
Harcum College,NULL,0.7194,1508,2,33349,NULL,2,Bryn Mawr,PA
Harrisburg Area Community College-Harrisburg,NULL,NULL,13698,1,14052,NULL,2,Harrisburg,PA
Haverford College,1405,0.2289,1200,2,57712,0.9331,3,Haverford,PA
Commonwealth Technical Institute,NULL,NULL,238,2,31267,NULL,1,Johnstown,PA
Holy Family University,941,0.6714,2050,2,30146,0.6148,3,Philadelphia,PA
Hussian School of Art,NULL,0.9344,98,3,21118,NULL,2,Philadelphia,PA
Kaplan Career Institute-Pittsburgh,NULL,NULL,631,3,NULL,NULL,2,Pittsburgh,PA
Immaculata University,950,0.7994,2683,2,44373,0.5315,3,Immaculata,PA
Indiana University of Pennsylvania-Main Campus,990,0.5833,13027,1,22383,0.502,3,Indiana,PA
Pennsylvania School of Business,NULL,NULL,259,3,22261,NULL,1,Allentown,PA
Jameson Health System,NULL,NULL,76,2,NULL,NULL,1,New Castle,PA
Great Lakes Institute of Technology,NULL,NULL,488,3,NULL,NULL,1,Erie,PA
Jolie Hair and Beauty Academy of Wilkes-Barre,NULL,NULL,181,3,NULL,NULL,1,Wilkes Barre,PA
Johnson College,NULL,0.3816,452,2,26070,NULL,2,Scranton,PA
Juniata College,1181,0.6638,1456,2,45128,0.7486,3,Huntingdon,PA
Keystone College,901,0.913,1649,2,27822,0.4078,3,La Plume,PA
Anthem Institute-Springfield,NULL,NULL,194,3,NULL,NULL,1,Springfield,PA
King's College,NULL,0.6983,2048,2,39631,0.6841,3,Wilkes-Barre,PA
Kittanning Beauty School,NULL,NULL,21,3,NULL,NULL,1,Kittanning,PA
Kutztown University of Pennsylvania,948,0.6756,8916,1,20089,0.544,3,Kutztown,PA
La Roche College,945,0.5198,1323,2,34022,0.5328,3,Pittsburgh,PA
La Salle University,986,0.7387,4302,2,45413,0.664,3,Philadelphia,PA
Lackawanna College,NULL,NULL,1386,2,19792,NULL,2,Scranton,PA
Lafayette College,1287,0.3449,2454,2,55720,0.9141,3,Easton,PA
Lancaster Bible College,994,0.5234,1051,2,28230,0.72,3,Lancaster,PA
Lancaster Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Lancaster,PA
Lancaster School of Cosmetology,NULL,NULL,228,3,NULL,NULL,1,Lancaster,PA
Lansdale School of Business,NULL,NULL,451,3,20670,NULL,2,North Wales,PA
Lansdale School of Cosmetology Inc,NULL,NULL,60,3,NULL,NULL,1,Lansdale,PA
Lebanon Valley College,1077,0.6482,1678,2,44325,0.7248,3,Annville,PA
Lehigh Carbon Community College,NULL,NULL,6193,1,8610,NULL,2,Schnecksville,PA
Berks Technical Institute,NULL,NULL,1139,3,20261,NULL,2,Wyomissing,PA
Lehigh University,1306,0.3258,4857,2,53884,0.8833,3,Bethlehem,PA
Levittown Beauty Academy,NULL,NULL,90,3,NULL,NULL,1,Levittown,PA
Lincoln Technical Institute-Allentown,NULL,NULL,637,3,NULL,NULL,1,Allentown,PA
Lincoln Technical Institute-Philadelphia,NULL,NULL,364,3,NULL,NULL,1,Philadelphia,PA
Lincoln University of Pennsylvania,895,0.2501,1669,1,22146,0.37,3,Lincoln University,PA
Lock Haven University,946,0.6147,4877,1,19200,0.4699,3,Lock Haven,PA
St Margaret School of Nursing,NULL,NULL,123,2,NULL,NULL,1,Pittsburgh,PA
Lutheran Theological Seminary at Gettysburg,NULL,NULL,NULL,2,NULL,NULL,4,Gettysburg,PA
Lutheran Theological Seminary at Philadelphia,NULL,NULL,NULL,2,NULL,NULL,4,Philadelphia,PA
Luzerne County Community College,NULL,NULL,6284,1,9651,NULL,2,Nanticoke,PA
Lycoming College,1044,0.7156,1342,2,44639,0.6453,3,Williamsport,PA
Erie Business Center-New Castle,NULL,NULL,62,3,11736,NULL,2,New Castle,PA
Manor College,910,0.4936,865,2,22142,NULL,2,Jenkintown,PA
Mansfield University of Pennsylvania,945,0.6895,2743,1,21168,0.4776,3,Mansfield,PA
Marywood University,1035,0.6909,2174,2,40472,0.6789,3,Scranton,PA
Vet Tech Institute,NULL,NULL,337,3,20566,NULL,2,Pittsburgh,PA
Mercyhurst University,1074,0.7666,2765,2,41746,0.6688,3,Erie,PA
Messiah College,1133,0.6416,2754,2,39986,0.7633,3,Mechanicsburg,PA
Metropolitan Career Center Computer Technology Institute,NULL,0.871,82,2,33500,NULL,2,Philadelphia,PA
Millersville University of Pennsylvania,1032,0.629,7325,1,19981,0.6446,3,Millersville,PA
Misericordia University,1044,0.588,2379,2,36469,0.6786,3,Dallas,PA
Montgomery County Community College,NULL,NULL,12543,1,11475,NULL,2,Blue Bell,PA
Moore College of Art and Design,971,0.5437,482,2,44738,0.5546,3,Philadelphia,PA
Moravian College and Moravian Theological Seminary,NULL,0.7825,1476,2,44798,0.7413,3,Bethlehem,PA
Mount Aloysius College,911,0.7589,1532,2,29566,0.4854,3,Cresson,PA
Muhlenberg College,1236,0.4611,2332,2,51595,0.8699,3,Allentown,PA
Thompson Institute,NULL,NULL,751,3,NULL,NULL,1,Philadelphia,PA
Neumann University,848,0.7884,2578,2,35847,0.511,3,Aston,PA
New Castle School of Trades,NULL,0.7547,872,3,NULL,NULL,2,New Castle,PA
Newport Business Institute-Lower Burrell,NULL,NULL,71,3,17756,NULL,2,Lower Burrell,PA
Northampton County Area Community College,NULL,NULL,10549,1,10056,NULL,2,Bethlehem,PA
Pittsburgh's Ohio Valley Hospital School of Nursing,NULL,NULL,72,2,18892,NULL,1,McKees Rocks,PA
Orleans Technical Institute,NULL,0.6598,501,2,NULL,NULL,1,Philadelphia,PA
Pennsylvania Academy of Cosmetology Arts and Sciences,NULL,NULL,58,3,NULL,NULL,1,Johnstown,PA
Salus University,NULL,NULL,NULL,2,NULL,NULL,4,Elkins Park,PA
Pennsylvania Institute of Technology,NULL,NULL,760,2,15786,NULL,1,Media,PA
Pennsylvania State University-Penn State Erie-Behrend College,1059,0.8251,3859,1,27447,0.667,3,Erie,PA
Pennsylvania State University-Penn State Great Valley,NULL,NULL,NULL,1,NULL,NULL,4,Malvern,PA
Pennsylvania State University-College of Medicine,NULL,NULL,NULL,1,NULL,NULL,4,Hershey,PA
Pennsylvania State University-Penn State New Kensington,943,0.7992,650,1,19202,0.425,3,Upper Burrell,PA
Pennsylvania State University-Penn State Shenango,896,0.7441,484,1,20550,0.3333,3,Sharon,PA
Pennsylvania State University-Penn State Wilkes-Barre,991,0.878,561,1,20287,0.5027,3,Lehman,PA
Pennsylvania State University-Penn State Worthington Scranton,938,0.8173,1130,1,19177,0.4787,3,Dunmore,PA
Pennsylvania State University-Penn State Lehigh Valley,979,0.8738,787,1,18952,0.4623,3,Center Valley,PA
Pennsylvania State University-Penn State Altoona,1005,0.8446,3788,1,26930,0.6588,3,Altoona,PA
Pennsylvania State University-Penn State Beaver,952,0.8643,656,1,22907,0.4519,3,Monaca,PA
Pennsylvania State University-Penn State Berks,981,0.8178,2577,1,25188,0.5352,3,Reading,PA
Pennsylvania State University-Penn State Harrisburg,1030,0.7913,3255,1,25399,0.6053,3,Middletown,PA
Pennsylvania State University-Penn State Brandywine,970,0.8333,1403,1,18907,0.3486,3,Media,PA
Pennsylvania State University-Penn State Dubois,939,0.8753,580,1,21120,0.5622,2,Dubois,PA
Pennsylvania State University-Penn State Fayette- Eberly Campus,908,0.8955,818,1,19986,0.4406,3,Uniontown,PA
Pennsylvania State University-Penn State Hazleton,939,0.8675,1037,1,25163,0.4777,2,Hazleton,PA
Pennsylvania State University-Main Campus,1200,0.5243,38547,1,31002,0.8557,3,University Park,PA
Pennsylvania State University-Penn State Greater Allegheny,899,0.8108,596,1,24760,0.4304,3,McKeesport,PA
Pennsylvania State University-Penn State Mont Alto,935,0.8479,1008,1,25611,0.5103,2,Mont Alto,PA
Pennsylvania State University-Penn State Abington,947,0.7817,3078,1,18927,0.4658,3,Abington,PA
Pennsylvania State University-Penn State Schuylkill,871,0.795,807,1,22914,0.3557,3,Schuylkill Haven,PA
Pennsylvania State University-Penn State York,986,0.7892,976,1,19360,0.4526,3,York,PA
Pace Institute,NULL,NULL,251,3,15815,NULL,2,Reading,PA
Peirce College,NULL,NULL,2254,2,21302,0.45,3,Philadelphia,PA
Penn Commercial Business/Technical School,NULL,0.7383,382,3,28513,NULL,2,Washington,PA
Pennco Tech-Bristol,NULL,NULL,468,3,NULL,NULL,1,Bristol,PA
Pennsylvania Academy of Cosmetology Arts and Sciences,NULL,NULL,43,3,NULL,NULL,1,Du Bois,PA
Pennsylvania Academy of the Fine Arts,NULL,0.94,182,2,41102,0.6279,3,Philadelphia,PA
Pennsylvania Gunsmith School,NULL,NULL,78,3,NULL,NULL,1,Pittsburgh,PA
Pennsylvania Institute of Taxidermy Inc,NULL,NULL,11,3,NULL,NULL,1,Ebensburg,PA
Cortiva Institute-Pennsylvania School of Muscle Therapy,NULL,NULL,153,3,NULL,NULL,1,King of Prussia,PA
Pennsylvania College of Art and Design,NULL,0.4027,245,2,27303,0.5738,3,Lancaster,PA
University of Pennsylvania,1439,0.126,10679,2,57360,0.9597,3,Philadelphia,PA
Philadelphia University,1058,0.7186,2883,2,44703,0.6073,3,Philadelphia,PA
The University of the Arts,1008,0.6928,1881,2,50480,0.5757,3,Philadelphia,PA
Cairn University,1033,0.7388,923,2,32394,0.6323,3,Langhorne,PA
Philadelphia College of Osteopathic Medicine,NULL,NULL,NULL,2,NULL,NULL,4,Philadelphia,PA
University of the Sciences,1153,0.6334,1782,2,47600,0.7425,3,Philadelphia,PA
Community College of Philadelphia,NULL,NULL,18058,1,10994,NULL,2,Philadelphia,PA
University of Pittsburgh-Bradford,973,0.6868,1492,1,24008,0.4971,3,Bradford,PA
University of Pittsburgh-Greensburg,1027,0.8556,1722,1,22565,0.4791,3,Greensburg,PA
University of Pittsburgh-Johnstown,1009,0.8791,2930,1,22981,0.5539,3,Johnstown,PA
University of Pittsburgh-Pittsburgh Campus,1266,0.5786,18105,1,29392,0.7898,3,Pittsburgh,PA
University of Pittsburgh-Titusville,886,0.7617,386,1,22140,NULL,2,Titusville,PA
Beaver Falls Beauty Academy,NULL,NULL,50,3,NULL,NULL,1,Beaver Falls,PA
Pittsburgh Institute of Aeronautics,NULL,NULL,324,2,28321,NULL,1,West Mifflin,PA
Pittsburgh Institute of Mortuary Science Inc,NULL,0.8655,213,2,NULL,NULL,2,Pittsburgh,PA
