INSTNM,SAT_AVG_2012,ADM_RATE_2012,UGDS_2012,CONTROL_2012,COSTT4_A_2012,C150_4_2012,PREDDEG_2012,CITY,STABBR
South Mountain Community College,NULL,NULL,4015,1,11848,NULL,2,Phoenix,AZ
Arizona Christian University,1029,0.7129,548,2,33528,0.5091,3,Phoenix,AZ
Tucson College,NULL,NULL,376,3,NULL,NULL,1,Tucson,AZ
Universal Technical Institute of Arizona Inc,NULL,NULL,2529,3,NULL,NULL,2,Avondale,AZ
Western International University,NULL,NULL,2089,3,27354,0.0407,3,Phoenix,AZ
Empire Beauty School-NW Phoenix,NULL,NULL,198,3,NULL,NULL,1,Glendale,AZ
Yavapai College,NULL,NULL,6287,1,9952,NULL,1,Prescott,AZ
University of Arkansas at Little Rock,1029,0.9946,8854,1,18991,0.204,3,Little Rock,AR
University of Arkansas for Medical Sciences,NULL,NULL,780,1,NULL,NULL,3,Little Rock,AR
ABC Beauty College Inc,NULL,NULL,51,3,NULL,NULL,1,Arkadelphia,AR
Arkansas Baptist College,NULL,NULL,1077,2,20128,0.0714,2,Little Rock,AR
Arkansas Beauty School,NULL,NULL,39,3,NULL,NULL,1,Little Rock,AR
Arkansas Beauty College,NULL,NULL,29,3,NULL,NULL,1,Russellville,AR
Lyon College,1179,0.6231,583,2,32544,0.4844,3,Batesville,AR
Arkansas College of Barbering and Hair Design,NULL,NULL,106,3,NULL,NULL,1,North Little Rock,AR
Arthur's Beauty College Inc-Fort Smith,NULL,NULL,48,3,NULL,NULL,1,Fort Smith,AR
University of Arkansas,1157,0.6347,19978,1,19036,0.6035,3,Fayetteville,AR
University of Arkansas at Pine Bluff,800,0.3278,2707,1,15952,0.2776,3,Pine Bluff,AR
Arkansas State University-Beebe,NULL,NULL,3566,1,11840,NULL,2,Beebe,AR
Arkansas State University-Main Campus,1049,0.7056,9496,1,18346,0.3954,3,Jonesboro,AR
Arkansas Tech University,1010,0.88,8643,1,15739,0.4095,3,Russellville,AR
University of Arkansas at Monticello,NULL,NULL,3186,1,16091,0.2667,1,Monticello,AR
Arthur's Beauty College Inc,NULL,NULL,49,3,NULL,NULL,1,Jacksonville,AR
Baptist Health Schools-Little Rock,990,0.7625,910,2,17706,NULL,1,Little Rock,AR
Black River Technical College,NULL,NULL,2014,1,13343,NULL,1,Pocahontas,AR
University of Central Arkansas,1070,0.9291,9028,1,17990,0.4082,3,Conway,AR
Central Baptist College,986,0.45,770,2,19762,0.299,3,Conway,AR
Cossatot Community College of the University of Arkansas,NULL,NULL,1112,1,11799,NULL,1,De Queen,AR
Crowley's Ridge College,NULL,NULL,158,2,17717,0.4237,2,Paragould,AR
Crowleys Ridge Technical Institute,NULL,NULL,279,1,8456,NULL,1,Forrest City,AR
