INSTNM,SAT_AVG,ADM_RATE,UGDS,CONTROL,COSTT4_A,C150_4,PREDDEG,CITY,STABBR
Prescott College,1094,0.7293,540,2,40206,0.3768,3,Prescott,AZ
Refrigeration School Inc,NULL,NULL,621,3,NULL,NULL,1,Phoenix,AZ
Rio Salado College,NULL,NULL,10217,1,11811,NULL,1,Tempe,AZ
Roberto-Venn School of Luthiery,NULL,NULL,39,3,NULL,NULL,1,Phoenix,AZ
Hair Academy of Safford,NULL,NULL,64,3,NULL,NULL,1,Safford,AZ
Scottsdale Community College,NULL,NULL,7687,1,12970,NULL,2,Scottsdale,AZ
South Mountain Community College,NULL,NULL,3980,1,12343,NULL,2,Phoenix,AZ
Arizona Christian University,1045,0.6076,491,2,34444,0.4737,3,Phoenix,AZ
Tucson College,NULL,NULL,284,3,NULL,NULL,1,Tucson,AZ
Universal Technical Institute of Arizona Inc,NULL,NULL,2337,3,NULL,NULL,2,Avondale,AZ
Western International University,NULL,NULL,1369,3,26118,0.1883,3,Tempe,AZ
Empire Beauty School-NW Phoenix,NULL,NULL,172,3,NULL,NULL,1,Glendale,AZ
Yavapai College,NULL,NULL,6072,1,12610,NULL,1,Prescott,AZ
University of Arkansas at Little Rock,1077,0.5274,8504,1,19894,0.2438,3,Little Rock,AR
University of Arkansas for Medical Sciences,NULL,NULL,755,1,NULL,NULL,3,Little Rock,AR
ABC Beauty College Inc,NULL,NULL,32,3,NULL,NULL,1,Arkadelphia,AR
Arkansas Baptist College,NULL,NULL,1022,2,20024,0.1588,3,Little Rock,AR
Arkansas Beauty School,NULL,NULL,37,3,NULL,NULL,1,Little Rock,AR
Arkansas Beauty College,NULL,NULL,46,3,NULL,NULL,1,Russellville,AR
Lyon College,1142,0.5898,570,2,33355,0.4965,3,Batesville,AR
Arkansas College of Barbering and Hair Design,NULL,NULL,134,3,NULL,NULL,1,North Little Rock,AR
Arthur's Beauty College Inc-Fort Smith,NULL,NULL,50,3,NULL,NULL,1,Fort Smith,AR
University of Arkansas,1156,0.5858,20776,1,19917,0.601,3,Fayetteville,AR
University of Arkansas at Pine Bluff,842,0.277,2503,1,15414,0.2583,3,Pine Bluff,AR
Arkansas State University-Beebe,NULL,NULL,3217,1,11558,NULL,1,Beebe,AR
Arkansas State University-Main Campus,1088,0.7551,9325,1,18809,0.3698,3,Jonesboro,AR
Arkansas Tech University,1008,0.8503,8734,1,16126,0.4025,3,Russellville,AR
University of Arkansas at Monticello,NULL,NULL,3024,1,16255,0.2804,1,Monticello,AR
Arthur's Beauty College Inc-Jacksonville,NULL,NULL,64,3,NULL,NULL,1,Jacksonville,AR
Baptist Health Schools-Little Rock,970,0.8615,918,2,18846,NULL,1,Little Rock,AR
Black River Technical College,NULL,NULL,1894,1,11401,NULL,1,Pocahontas,AR
University of Central Arkansas,1070,0.8997,9261,1,17899,0.4203,3,Conway,AR
Central Baptist College,974,0.5407,769,2,20386,0.3874,3,Conway,AR
Cossatot Community College of the University of Arkansas,NULL,NULL,1129,1,11753,NULL,1,De Queen,AR
Crowley's Ridge College,NULL,NULL,153,2,18790,0.2931,2,Paragould,AR
Crowley's Ridge Technical Institute,NULL,NULL,286,1,8644,NULL,1,Forrest City,AR
East Arkansas Community College,NULL,NULL,922,1,8767,NULL,1,Forrest City,AR
Eastern College of Health Vocations-Little Rock,NULL,NULL,302,3,NULL,NULL,1,Little Rock,AR
Imagine-Paul Mitchell Partner School,NULL,NULL,482,3,NULL,NULL,1,North Little Rock,AR
National Park Community College,NULL,NULL,2445,1,13836,NULL,2,Hot Springs,AR
University of Arkansas Community College-Batesville,NULL,NULL,1090,1,7631,NULL,1,Batesville,AR
Harding University,1139,0.7628,4428,2,25475,0.6219,3,Searcy,AR
Henderson State University,1011,0.6221,3190,1,18033,0.2854,3,Arkadelphia,AR
Hendrix College,1267,0.8039,1428,2,50172,0.6959,3,Conway,AR
Hot Springs Beauty College,NULL,NULL,43,3,NULL,NULL,1,Hot Springs,AR
Jefferson Regional Medical Center School of Nursing,NULL,NULL,76,2,NULL,NULL,1,Pine Bluff,AR
John Brown University,1144,0.6982,1770,2,33326,0.6537,3,Siloam Springs,AR
Lees School of Cosmetology,NULL,NULL,27,3,NULL,NULL,1,North Little Rock,AR
Career Academy of Hair Design,NULL,NULL,364,3,NULL,NULL,1,Springdale,AR
Marsha Kay Beauty College,NULL,NULL,15,3,NULL,NULL,1,Mountain Home,AR
Academy of Salon and Spa,NULL,NULL,75,3,NULL,NULL,1,Fort Smith,AR
Mid-South Community College,NULL,NULL,1263,1,13105,NULL,1,West Memphis,AR
Arkansas Northeastern College,NULL,NULL,1141,1,12538,NULL,1,Blytheville,AR
Margaret's Hair Academy Inc,NULL,NULL,65,3,NULL,NULL,1,Monticello,AR
New Tyler Barber College Inc,NULL,NULL,79,3,NULL,NULL,1,North Little Rock,AR
North Arkansas College,NULL,NULL,1885,1,9463,NULL,1,Harrison,AR
Northwest Technical Institute,NULL,NULL,252,1,8855,NULL,1,Springdale,AR
Ouachita Baptist University,1090,0.7011,1513,2,31473,0.6022,3,Arkadelphia,AR
College of the Ouachitas,NULL,NULL,817,1,12215,NULL,1,Malvern,AR
Ozarka College,NULL,NULL,1226,1,11364,NULL,1,Melbourne,AR
University of the Ozarks,1057,0.6136,568,2,34532,0.4831,3,Clarksville,AR
University of Arkansas Community College-Morrilton,930,0.5838,2077,1,11593,NULL,2,Morrilton,AR
Philander Smith College,NULL,NULL,554,2,24877,0.4462,3,Little Rock,AR
Phillips Community College of the University of Arkansas,NULL,NULL,986,1,16140,NULL,2,Helena,AR
Southeast Arkansas College,NULL,NULL,1415,1,9672,NULL,1,Pine Bluff,AR
Professional Cosmetology Education Center,NULL,NULL,50,3,NULL,NULL,1,El Dorado,AR
Pulaski Technical College,NULL,NULL,9480,1,17064,NULL,2,North Little Rock,AR
University of Arkansas Community College-Hope,NULL,NULL,1157,1,14349,NULL,1,Hope,AR
Rich Mountain Community College,NULL,NULL,553,1,10415,NULL,1,Mena,AR
Paul Mitchell the School-Arkansas,NULL,NULL,96,3,NULL,NULL,1,Fayetteville,AR
Searcy Beauty College Inc,NULL,NULL,104,3,NULL,NULL,1,Searcy,AR
Shorter College,NULL,NULL,330,2,7500,NULL,2,N Little Rock,AR
Williams Baptist College,1001,0.6798,501,2,22330,0.3985,3,Walnut Ridge,AR
South Arkansas Community College,NULL,NULL,1306,1,17675,NULL,1,El Dorado,AR
Southern Arkansas University Main Campus,989,0.6081,2640,1,17738,0.2973,3,Magnolia,AR
Southern Arkansas University Tech,NULL,NULL,894,1,16258,NULL,1,Camden,AR
Velvatex College of Beauty Culture,NULL,NULL,25,3,NULL,NULL,1,Little Rock,AR
University of Arkansas-Fort Smith,1028,0.5736,6508,1,14335,0.2291,3,Fort Smith,AR
Academy of Art University,NULL,NULL,10300,3,34512,0.3188,3,San Francisco,CA
ITT Technical Institute-Rancho Cordova,NULL,0.3845,510,3,26209,0.4167,2,Rancho Cordova,CA
Academy of Chinese Culture and Health Sciences,NULL,NULL,NULL,2,NULL,NULL,4,Oakland,CA
The Academy of Radio and TV Broadcasting,NULL,NULL,44,3,NULL,NULL,1,Huntington Beach,CA
Avalon School of Cosmetology-Alameda,NULL,NULL,186,3,NULL,NULL,1,Alameda,CA
College of Alameda,NULL,NULL,5147,1,10251,NULL,2,Alameda,CA
Allan Hancock College,NULL,NULL,9692,1,10735,NULL,2,Santa Maria,CA
American Academy of Dramatic Arts-Los Angeles,NULL,0.1479,258,2,51197,NULL,2,Los Angeles,CA
American Baptist Seminary of the West,NULL,NULL,NULL,2,NULL,NULL,4,Berkeley,CA
American Film Institute Conservatory,NULL,NULL,NULL,2,NULL,NULL,4,Los Angeles,CA
American Beauty College,NULL,NULL,45,3,NULL,NULL,1,West Covina,CA
American Career College-Los Angeles,NULL,NULL,1770,3,NULL,NULL,1,Los Angeles,CA
American Conservatory Theater,NULL,NULL,0,2,NULL,NULL,1,San Francisco,CA
American River College,NULL,NULL,27332,1,12311,NULL,1,Sacramento,CA
