INSTNM,SAT_AVG,ADM_RATE,UGDS,CONTROL,COSTT4_A,C150_4,PREDDEG,CITY,STABBR
Moler-Pickens Beauty Academy,NULL,NULL,74,3,NULL,NULL,1,Fairfield,OH
Red River Technology Center,NULL,NULL,106,1,NULL,NULL,1,Duncan,OK
Kaplan Career Institute-Harrisburg,NULL,NULL,335,3,NULL,NULL,1,Harrisburg,PA
ITT Technical Institute-Newburgh,NULL,0.8065,295,3,27353,0.4194,2,Newburgh,IN
Southern Union State Community College,NULL,NULL,4613,1,13027,NULL,2,Wadley,AL
South University-Columbia,NULL,0.5075,1167,3,28290,0.0541,3,Columbia,SC
Everest University-Brandon,NULL,NULL,4140,3,28979,0.2528,2,Tampa,FL
Clinton Technical School,NULL,NULL,23,1,NULL,NULL,1,Clinton,MO
Consolidated School of Business-Lancaster,NULL,NULL,112,3,NULL,NULL,2,Lancaster,PA
Greene County Career and Technology Center,NULL,0.9744,35,1,NULL,NULL,1,Waynesburg,PA
Lac Courte Oreilles Ojibwa Community College,NULL,NULL,254,1,11049,NULL,2,Hayward,WI
Diesel Driving Academy-Shreveport,NULL,NULL,149,3,NULL,NULL,1,Shreveport,LA
Pima Medical Institute-Mesa,NULL,NULL,1146,3,NULL,NULL,1,Mesa,AZ
Platt College-Los Angeles,NULL,NULL,608,3,33751,0.4747,2,Alhambra,CA
Platt College-Aurora,NULL,0,209,3,41957,0.4667,3,Aurora,CO
Kaplan University-Davenport Campus,NULL,NULL,40209,3,23712,0.2,3,Davenport,IA
Kaplan University-Cedar Falls Campus,NULL,NULL,386,3,24335,0.3034,2,Cedar Falls,IA
Paul Mitchell the School-Boise,NULL,NULL,150,3,NULL,NULL,1,Boise,ID
Christian Life College,NULL,NULL,41,2,23776,1,3,Mount Prospect,IL
Knowledge Systems Institute,NULL,NULL,NULL,2,NULL,NULL,4,Skokie,IL
Educators of Beauty College of Cosmetology-Rockford,NULL,NULL,61,3,NULL,NULL,1,Rockford,IL
ITT Technical Institute-Arlington Heights,NULL,0.864,248,3,24570,0.3415,2,Arlington Heights,IL
Northwestern College-Southwestern Campus,NULL,0.9265,756,3,29258,NULL,2,Bridgeview,IL
Tulsa Technology Center-Lemley Campus,NULL,NULL,1762,1,NULL,NULL,1,Tulsa,OK
Tulsa Technology Center-Riverside Campus,NULL,NULL,694,1,NULL,NULL,1,Tulsa,OK
Tulsa Technology Center-Broken Arrow Campus,NULL,NULL,736,1,NULL,NULL,1,Broken Arrow,OK
Douglas J Aveda Institute,NULL,NULL,977,3,NULL,NULL,1,East Lansing,MI
ITT Technical Institute-Troy,NULL,0.8711,581,3,27328,0.4113,2,Troy,MI
Ross Medical Education Center-Brighton,NULL,NULL,127,3,NULL,NULL,1,Brighton,MI
Ross Medical Education Center-Ann Arbor,NULL,NULL,128,3,NULL,NULL,1,Ann Arbor,MI
Taylortown School of Beauty Inc,NULL,NULL,204,3,NULL,NULL,1,Taylor,MI
Pike-Lincoln Technical Center,NULL,NULL,27,1,NULL,NULL,1,Eolia,MO
Pennsylvania Institute of Health and Technology,NULL,NULL,118,3,24858,NULL,2,Mount Braddock,PA
Skyline College-Roanoke,NULL,0.7978,193,3,25057,0.5,1,Roanoke,VA
Bethel Seminary-San Diego,NULL,NULL,NULL,2,NULL,NULL,4,San Diego,CA
St Charles Community College,NULL,NULL,6744,1,6960,NULL,2,Cottleville,MO
Brandman University,NULL,1,3642,2,NULL,NULL,3,Irvine,CA
New College of Florida,1283,0.6061,793,1,19781,0.6584,3,Sarasota,FL
Arizona Academy of Beauty-North,NULL,NULL,55,3,NULL,NULL,1,Tucson,AZ
Empire Beauty School-Prescott,NULL,NULL,84,3,NULL,NULL,1,Prescott,AZ
Le Cordon Bleu College of Culinary Arts-Scottsdale,NULL,NULL,1548,3,21115,0.6617,1,Scottsdale,AZ
Conservatory of Recording Arts and Sciences,NULL,NULL,693,3,NULL,NULL,1,Tempe,AZ
Adrian's College of Beauty Turlock,NULL,NULL,157,3,NULL,NULL,1,Turlock,CA
California Career School,NULL,NULL,212,3,NULL,NULL,1,Anaheim,CA
San Joaquin Valley College-Fresno,NULL,NULL,686,3,22617,NULL,2,Fresno,CA
Rolf Institute of Structural Integration,NULL,NULL,72,2,NULL,NULL,1,Boulder,CO
Heritage College-Denver,NULL,NULL,466,3,NULL,NULL,2,Denver,CO
Empire Beauty School-Highland,NULL,NULL,80,3,NULL,NULL,1,Louisville,KY
Sunstate Academy,NULL,NULL,355,3,NULL,NULL,1,Fort Myers,FL
Elizabeth Grady School of Esthetics and Massage Therapy,NULL,NULL,171,3,NULL,NULL,1,Medford,MA
Ross Medical Education Center-Port Huron,NULL,NULL,62,3,NULL,NULL,1,Port Huron,MI
Capri Institute of Hair Design-Clifton,NULL,NULL,268,3,NULL,NULL,1,Clifton,NJ
Raphael's School of Beauty Culture Inc-Alliance,NULL,NULL,87,3,NULL,NULL,1,Alliance,OH
Metro Technology Centers,NULL,NULL,914,1,NULL,NULL,1,Oklahoma City,OK
Heald College-Roseville,NULL,NULL,1252,3,25105,NULL,2,Roseville,CA
Daymar College-Bowling Green,NULL,NULL,255,3,29352,0.7952,2,Bowling Green,KY
Everest College-Everett,NULL,NULL,451,3,22867,NULL,1,Everett,WA
Luna Community College,NULL,NULL,868,1,9769,NULL,2,Las Vegas,NM
Grabber School of Hair Design,NULL,NULL,134,3,NULL,NULL,1,St. Louis,MO
Yeshivah Gedolah Rabbinical College,NULL,NULL,51,2,17300,0.1667,0,Miami Beach,FL
University of the District of Columbia-David A Clarke School of Law,NULL,NULL,NULL,1,NULL,NULL,4,Washington,DC
Raphael's School of Beauty Culture Inc-Brunswick,NULL,NULL,53,3,NULL,NULL,1,Brunswick,OH
Caribbean University-Ponce,NULL,NULL,1159,2,8330,0.1538,3,Ponce,PR
Caribbean University-Vega Baja,NULL,NULL,483,2,8465,0.2783,3,Vega Baja,PR
University of Advancing Technology,NULL,NULL,959,3,33800,0.2414,3,Tempe,AZ
Paradise Valley Community College,NULL,NULL,7068,1,11978,NULL,1,Phoenix,AZ
Chandler-Gilbert Community College,NULL,NULL,9621,1,12306,NULL,1,Chandler,AZ
St John's Hospital School of Clinical Lab Science,NULL,NULL,6,2,NULL,NULL,1,Springfield,IL
Madison Media Institute,NULL,NULL,396,3,25678,0.5134,2,Madison,WI
Sanford-Brown Institute-White Plains,NULL,NULL,371,3,NULL,NULL,1,White Plains,NY
Sanford-Brown Institute-Garden City,NULL,NULL,915,3,NULL,NULL,1,Garden City,NY
Great Plains Technology Center,NULL,NULL,296,1,NULL,NULL,1,Lawton,OK
Roane-Jackson Technical Center,NULL,NULL,39,1,NULL,NULL,1,Leroy,WV
Total Cosmetology Training Center,NULL,NULL,129,3,NULL,NULL,1,Spokane,WA
Iverson Business School,NULL,NULL,2,3,NULL,NULL,1,Arlington,TX
Lawrence County Career and Technical Center-Practical Nursing Program,NULL,0.5912,34,1,NULL,NULL,1,New Castle,PA
Pioneer Technology Center,NULL,NULL,421,1,NULL,NULL,1,Ponca City,OK
Portage Lakes Career Center,NULL,NULL,55,1,NULL,NULL,1,Uniontown,OH
Eastern College of Health Vocations-New Orleans,NULL,NULL,221,3,NULL,NULL,1,New Orleans,LA
Bell Mar Beauty College,NULL,NULL,75,3,NULL,NULL,1,Cicero,IL
Cannella School of Hair Design-Chicago,NULL,NULL,52,3,NULL,NULL,1,Chicago,IL
Caddo Kiowa Technology Center,NULL,NULL,198,1,NULL,NULL,1,Fort Cobb,OK
Kaplan College-San Antonio-San Pedro,NULL,NULL,645,3,NULL,NULL,1,San Antonio,TX
Oswego County BOCES,NULL,0.8442,134,1,NULL,NULL,1,Mexico,NY
Le Cordon Bleu College of Culinary Arts-Austin,NULL,NULL,655,3,20243,NULL,1,Austin,TX
The Art Institute of New York City,NULL,NULL,1158,3,31955,NULL,2,New York,NY
Paris II Educational Center,NULL,NULL,94,3,NULL,NULL,1,Gladstone,MO
International School of Skin Nailcare & Massage Therapy,NULL,NULL,328,3,NULL,NULL,1,Atlanta,GA
Palomar Institute of Cosmetology,NULL,NULL,136,3,NULL,NULL,1,San Marcos,CA
Southern Oklahoma Technology Center,NULL,NULL,92,1,NULL,NULL,1,Ardmore,OK
Vista College,NULL,NULL,2746,3,24405,NULL,1,El Paso,TX
Autry Technology Center,NULL,0.9224,252,1,NULL,NULL,1,Enid,OK
Greene County Vocational School District,NULL,NULL,171,1,NULL,NULL,1,Xenia,OH
Canadian Valley Technology Center,NULL,NULL,360,1,NULL,NULL,1,El Reno,OK
Wilkes-Barre Area Career and Technical Center Practical Nursing,NULL,0.59,119,1,NULL,NULL,1,Wilkes Barre,PA
Mayo Graduate School,NULL,NULL,NULL,2,NULL,NULL,4,Rochester,MN
American Beauty Institute,NULL,NULL,17,3,NULL,NULL,1,McAlester,OK
Meridian Technology Center,NULL,NULL,304,1,NULL,NULL,1,Stillwater,OK
Waynesville Career Center,NULL,NULL,55,1,NULL,NULL,1,Waynesville,MO
Connecticut Institute of Hair Design,NULL,NULL,28,3,NULL,NULL,1,Wolcott,CT
Capitol School of Hairstyling and Esthetics,NULL,NULL,144,3,NULL,NULL,1,Omaha,NE
Morris County Vocational School District,NULL,0.4304,43,1,NULL,NULL,1,Denville,NJ
Ross Medical Education Center-Roosevelt Park,NULL,NULL,186,3,NULL,NULL,1,Roosevelt Park,MI
Ross Medical Education Center-Kentwood,NULL,NULL,176,3,NULL,NULL,1,Kentwood,MI
South Florida Bible College and Theological Seminary,NULL,NULL,107,2,16588,NULL,3,Deerfield Beach,FL
Cloyd's Barber School 2 Inc,NULL,NULL,27,3,NULL,NULL,1,Monroe,LA
Universal Technical Institute of Illinois Inc,NULL,NULL,1343,3,NULL,NULL,1,Glendale Heights,IL
Pennsylvania College of Technology,NULL,NULL,5615,1,27341,0.4768,2,Williamsport,PA
Commonwealth Institute of Funeral Service,NULL,NULL,219,2,28929,NULL,2,Houston,TX
Delta College of Arts & Technology,NULL,NULL,678,3,NULL,NULL,1,Baton Rouge,LA
InterCoast Colleges-Orange,NULL,NULL,4,3,NULL,NULL,1,Orange,CA
Stone Child College,NULL,NULL,316,1,12590,NULL,2,Box Elder,MT
New York Academy of Art,NULL,NULL,NULL,2,NULL,NULL,4,New York,NY
Suffolk County Community College,NULL,NULL,22701,1,10819,NULL,2,Selden,NY
Las Positas College,NULL,NULL,7955,1,10765,NULL,2,Livermore,CA
Blades School of Hair Design,NULL,NULL,92,3,NULL,NULL,1,California,MD
Altamaha Technical College,NULL,NULL,1109,1,10786,NULL,1,Jesup,GA
Ogeechee Technical College,NULL,NULL,2149,1,11269,NULL,1,Statesboro,GA
Remington College-Mobile Campus,NULL,0.8588,472,2,27758,NULL,1,Mobile,AL
Everest College-Aurora,NULL,NULL,383,3,27402,NULL,1,Aurora,CO
Southwest Florida College,NULL,NULL,1261,3,21030,0.3854,2,Fort Myers,FL
Mercy-St Luke's School of Radiologic Technology,NULL,NULL,24,2,NULL,NULL,1,Cedar Rapids,IA
ITT Technical Institute-Norwood,NULL,0.8854,478,3,27016,0.2143,2,Norwood,MA
Southwest Acupuncture College-Santa Fe,NULL,NULL,NULL,3,NULL,NULL,4,Santa Fe,NM
Northwest Technology Center-Alva,NULL,NULL,108,1,NULL,NULL,1,Alva,OK
Mercer County Career Center,NULL,NULL,40,1,NULL,NULL,1,Mercer,PA
ITT Technical Institute-Knoxville,NULL,0.9798,400,3,27050,0.2222,2,Knoxville,TN
ITT Technical Institute-Austin,NULL,0.9222,432,3,27074,0.3958,2,Austin,TX
ITT Technical Institute-Houston North,NULL,0.9424,650,3,26516,0.5844,2,Houston,TX
California State University-San Marcos,966,0.6251,10689,1,20386,0.4791,3,San Marcos,CA
Argosy University-Hawaii,NULL,NULL,311,3,24733,NULL,3,Honolulu,HI
Baptist Theological Seminary at Richmond,NULL,NULL,NULL,2,NULL,NULL,4,Henrico,VA
Kaplan College-Modesto,NULL,NULL,490,3,NULL,NULL,1,Salida,CA
Kaplan University-Des Moines Campus,NULL,NULL,779,3,24518,0.2422,2,Urbandale,IA
Hairmasters Institute of Cosmetology,NULL,NULL,111,3,NULL,NULL,1,Bloomington,IL
Hair Arts Academy,NULL,NULL,74,3,NULL,NULL,1,Bloomington,IN
Pinnacle Career Institute-Lawrence,NULL,NULL,113,3,25151,NULL,1,Lawrence,KS
Interactive College of Technology-Newport,NULL,NULL,30,3,16669,NULL,1,Newport,KY
Career Technical College-Monroe,NULL,NULL,580,3,24901,NULL,2,Monroe,LA
Empire Beauty School-Lowell,NULL,NULL,116,3,NULL,NULL,1,Lowell,MA
Ross Medical Education Center-Taylor,NULL,NULL,80,3,NULL,NULL,1,Taylor,MI
McNally Smith College of Music,NULL,0.6221,556,3,37924,0.3817,3,Saint Paul,MN
Allied Health Careers,NULL,NULL,177,3,NULL,NULL,1,Austin,TX
National Tractor Trailer School Inc-Liverpool,NULL,NULL,179,3,NULL,NULL,1,Liverpool,NY
Interactive Learning Systems-Houston,NULL,NULL,30,3,NULL,NULL,1,Houston,TX
Star Career Academy–Brick,NULL,NULL,267,3,NULL,NULL,1,Brick,NJ
New Castle Beauty Academy,NULL,NULL,34,3,NULL,NULL,1,New Castle,PA
NorthWest Arkansas Community College,NULL,NULL,6698,1,12052,NULL,2,Bentonville,AR
Madera Beauty College,NULL,NULL,55,3,NULL,NULL,1,Madera,CA
Colorado Heights University,NULL,NULL,343,2,11349,0.4727,1,Denver,CO
Brewster Technical Center,NULL,NULL,202,1,NULL,NULL,1,Tampa,FL
Hodges University,NULL,0.8281,1864,2,23659,0.3,3,Naples,FL
Everest University-Lakeland,NULL,NULL,449,3,26963,0.4385,1,Lakeland,FL
Argosy University-Atlanta,NULL,NULL,434,3,24208,NULL,3,Atlanta,GA
University of St Augustine for Health Sciences,NULL,NULL,NULL,3,NULL,NULL,4,San Marcos,CA
Capital Area School of Practical Nursing,NULL,NULL,131,1,NULL,NULL,1,Springfield,IL
Hair Professionals Career College,NULL,NULL,87,3,NULL,NULL,1,Palos Hills,IL
Alexandria School of Scientific Therapeutics,NULL,NULL,30,3,NULL,NULL,1,Alexandria,IN
Empire Beauty School-Bloomfield,NULL,NULL,180,3,NULL,NULL,1,Bloomfield,NJ
Southwest Technology Center,NULL,NULL,104,1,NULL,NULL,1,Altus,OK
Western Area Career and Technology Center,NULL,1,90,1,NULL,NULL,1,Canonsburg,PA
Daymar Institute-Clarksville,NULL,NULL,497,3,28291,0.4259,2,Clarksville,TN
Nossi College of Art,NULL,0.6077,279,3,21352,0.5123,2,Madison,TN
Seguin Beauty School-New Braunfels,NULL,NULL,38,3,NULL,NULL,1,New Braunfels,TX
ITT Technical Institute-Norfolk,NULL,0.7917,720,3,27607,0.2676,2,Norfolk,VA
Pima Medical Institute-Seattle,NULL,NULL,787,3,NULL,NULL,1,Seattle,WA
Mineral County Vocational Technical Center,NULL,NULL,25,1,NULL,NULL,1,Keyser,WV
Hypnosis Motivation Institute,NULL,NULL,111,2,NULL,NULL,1,Tarzana,CA
Los Angeles ORT College-Los Angeles Campus,NULL,NULL,396,2,NULL,NULL,1,Los Angeles,CA
Everest College-West Los Angeles,NULL,NULL,422,3,28854,NULL,1,Los Angeles,CA
Thanh Le College School of Cosmetology,NULL,NULL,40,3,NULL,NULL,1,Garden Grove,CA
Southeastern Technical College,NULL,NULL,1351,1,10716,NULL,1,Vidalia,GA
Massachusetts School of Law,NULL,NULL,NULL,2,NULL,NULL,4,Andover,MA
ITT Technical Institute-Albuquerque,NULL,0.712,476,3,29349,0.3243,2,Albuquerque,NM
Community Services Division-Alliance City,NULL,NULL,106,1,NULL,NULL,1,Alliance,OH
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,NULL,NULL,3208,3,NULL,NULL,1,Orlando,FL
D G Erwin Technical Center,NULL,NULL,840,1,18374,NULL,1,Tampa,FL
Rosel School of Cosmetology,NULL,NULL,80,3,NULL,NULL,1,Chicago,IL
Worsham College of Mortuary Science,NULL,NULL,108,3,NULL,NULL,2,Wheeling,IL
Bryan University,NULL,NULL,431,3,23368,0.33,2,Springfield,MO
Oregon College of Oriental Medicine,NULL,NULL,NULL,2,NULL,NULL,4,Portland,OR
Central Pennsylvania Institute of Science and Technology,NULL,NULL,195,1,NULL,NULL,1,Pleasant Gap,PA
Northwest Educational Center,NULL,NULL,169,3,NULL,NULL,1,Houston,TX
Sebring Career Schools-Houston,NULL,NULL,98,3,NULL,NULL,1,Houston,TX
PCI Health Training Center,NULL,NULL,521,3,NULL,NULL,1,Dallas,TX
Windham Memorial Hospital-Radiologic Technology Program,NULL,NULL,17,2,NULL,NULL,1,Willimantic,CT
Bethel Seminary of the East,NULL,NULL,NULL,2,NULL,NULL,4,Landover,MD
Miami-Jacobs Career College-Columbus,NULL,NULL,304,3,27179,NULL,2,Columbus,OH
Bryant & Stratton College-Eastlake,NULL,NULL,613,3,21198,0.1628,2,Eastlake,OH
Hamrick School,NULL,NULL,187,3,NULL,NULL,1,Medina,OH
Alabama State College of Barber Styling,NULL,NULL,26,3,NULL,NULL,1,Gardendale,AL
Fortis College-Mobile,NULL,NULL,359,3,16035,NULL,1,Mobile,AL
Arkansas Beauty School,NULL,NULL,36,3,NULL,NULL,1,Conway,AR
Everest College-Ontario,NULL,NULL,782,3,NULL,NULL,1,Ontario,CA
Downey Adult School,NULL,NULL,1317,1,NULL,NULL,1,Downey,CA
Heald College-Stockton,NULL,NULL,1409,3,22157,NULL,2,Stockton,CA
Heald College-Hayward,NULL,NULL,1244,3,23574,NULL,2,Hayward,CA
CRU Institute,NULL,NULL,55,3,NULL,NULL,1,Garden Grove,CA
Modern Technology School,NULL,0.7625,83,3,NULL,NULL,1,Fountain Valley,CA
National Career Education,NULL,NULL,51,3,NULL,NULL,1,Rancho Cordova,CA
Everest College-Anaheim,NULL,NULL,574,3,25872,NULL,1,Anaheim,CA
Thuy Princess Beauty College,NULL,NULL,77,3,NULL,NULL,1,Pomona,CA
North-West College-Glendale,NULL,1,177,3,NULL,NULL,1,Glendale,CA
Everest College-City of Industry,NULL,NULL,1029,3,25047,NULL,1,City of Industry,CA
Fremont College,NULL,NULL,344,3,NULL,0.6039,2,Cerritos,CA
Pomona Unified School District Adult and Career Education,NULL,NULL,444,1,NULL,NULL,1,Pomona,CA
University of Phoenix-Online Campus,NULL,NULL,166816,3,19605,0.2,3,Phoenix,AZ
University of Phoenix-San Diego Campus,NULL,NULL,5339,3,24094,0.173,3,San Diego,CA
Universal College of Beauty Inc-Los Angeles 2,NULL,NULL,32,3,NULL,NULL,1,Los Angeles,CA
IBMC College,NULL,NULL,258,3,22787,NULL,2,Fort Collins,CO
Xenon International Academy-Denver,NULL,NULL,101,3,NULL,NULL,1,Aurora,CO
Academy of Cosmetology,NULL,NULL,144,3,NULL,NULL,1,Merritt Island,FL
ITT Technical Institute-Lake Mary,NULL,0.5665,269,3,26832,0.3,2,Lake Mary,FL
Sunstate Academy,NULL,NULL,224,3,NULL,NULL,1,Clearwater,FL
Heritage Institute-Jacksonville,NULL,NULL,279,3,NULL,NULL,2,Jacksonville,FL
Fortis College-Smyrna,NULL,NULL,617,3,27149,NULL,1,Smyrna,GA
Remington College-Honolulu Campus,NULL,0.7619,495,2,25592,0.4232,2,Honolulu,HI
Vatterott College-Des Moines,NULL,NULL,239,3,24247,NULL,1,Des Moines,IA
Brown Mackie College-Quad Cities,NULL,NULL,364,3,23762,NULL,2,Bettendorf,IA
Pivot Point Academy-Bloomingdale,NULL,NULL,175,3,NULL,NULL,1,Bloomingdale,IL
Xenon International Academy-Kansas City,NULL,NULL,53,3,NULL,NULL,1,Olathe,KS
Diesel Driving Academy-Baton Rouge,NULL,NULL,256,3,NULL,NULL,1,Baton Rouge,LA
Jonesville Beauty School,NULL,NULL,36,3,NULL,NULL,1,Vidalia,LA
New England Hair Academy,NULL,NULL,168,3,NULL,NULL,1,Malden,MA
Rob Roy Academy-Worcester,NULL,NULL,176,3,NULL,NULL,1,Worcester,MA
Upper Cape Cod Regional Technical School,NULL,0.3022,59,1,NULL,NULL,1,Bourne,MA
All-State Career-Baltimore,NULL,NULL,1078,3,NULL,NULL,1,Baltimore,MD
New England School of Communications,NULL,0.3005,456,2,24040,0.4726,3,Bangor,ME
Everest Institute-Kalamazoo,NULL,NULL,356,3,NULL,NULL,1,Kalamazoo,MI
Adler Graduate School,NULL,NULL,NULL,2,NULL,NULL,4,Richfield,MN
Lebanon Technology and Career Center,NULL,NULL,26,1,NULL,NULL,1,Lebanon,MO
Academy of Hair Design-Jackson,NULL,NULL,121,3,NULL,NULL,1,Jackson,MS
KC's School of Hair Design,NULL,NULL,76,3,NULL,NULL,1,Pontotoc,MS
Mitchells Hairstyling Academy-Goldsboro,NULL,NULL,46,3,NULL,NULL,1,Goldsboro,NC
Lincoln Technical Institute-Moorestown,NULL,NULL,579,3,NULL,NULL,1,Moorestown,NJ
Monmouth County Vocational School District,NULL,NULL,98,1,NULL,NULL,1,Freehold,NJ
Kaplan College-Las Vegas,NULL,NULL,994,3,NULL,NULL,1,Las Vegas,NV
Beauty School of Middletown,NULL,NULL,68,3,NULL,NULL,1,Middletown,NY
Bryant & Stratton College-Southtowns,NULL,NULL,499,3,21450,0.3585,2,Orchard Park,NY
National Tractor Trailer School Inc-Buffalo,NULL,NULL,89,3,NULL,NULL,1,Buffalo,NY
Yeshiva Gedolah Imrei Yosef D'spinka,NULL,NULL,125,2,15948,0.6667,3,Brooklyn,NY
Cleveland Institute of Dental-Medical Assistants-Mentor,NULL,NULL,135,3,NULL,NULL,1,Mentor,OH
Cleveland Institute of Dental-Medical Assistants-Lyndhurst,NULL,NULL,64,3,NULL,NULL,1,Lyndhurst,OH
Knox County Career Center,NULL,NULL,252,1,NULL,NULL,1,Mount Vernon,OH
Madison Adult Career Center,NULL,NULL,145,1,NULL,NULL,1,Mansfield,OH
Remington College-Cleveland Campus,NULL,0.7526,438,2,27141,NULL,1,Cleveland,OH
Brown Mackie College-Findlay,NULL,NULL,448,3,23464,0.3049,2,Findlay,OH
Toledo Academy of Beauty Culture-East,NULL,NULL,111,3,NULL,NULL,1,OREGON,OH
U S Grant Joint Vocational School,NULL,NULL,18,1,9100,NULL,1,Bethel,OH
CC's Cosmetology College,NULL,NULL,47,3,NULL,NULL,1,Tulsa,OK
Chisholm Trail Technology Center,NULL,NULL,96,1,NULL,NULL,1,Omega,OK
Gordon Cooper Technology Center,NULL,NULL,923,1,NULL,NULL,1,Shawnee,OK
Kiamichi Technology Center-Atoka,NULL,NULL,26,1,NULL,NULL,1,Atoka,OK
Kiamichi Technology Center-Durant,NULL,NULL,288,1,NULL,NULL,1,Durant,OK
Kiamichi Technology Center-Hugo,NULL,NULL,60,1,NULL,NULL,1,Hugo,OK
Kiamichi Technology Center-McAlester,NULL,NULL,195,1,NULL,NULL,1,McAlester,OK
Kiamichi Technology Center-Idabel,NULL,NULL,75,1,NULL,NULL,1,Idabel,OK
Kiamichi Technology Center-Poteau,NULL,NULL,246,1,NULL,NULL,1,Poteau,OK
Kiamichi Technology Center-Spiro,NULL,NULL,26,1,NULL,NULL,1,Spiro,OK
Kiamichi Technology Center-Talihina,NULL,NULL,52,1,NULL,NULL,1,Talihina,OK
Le Cordon Bleu College of Culinary Arts-Portland,NULL,NULL,563,3,21016,NULL,1,Portland,OR
YTI Career Institute-Altoona,NULL,NULL,405,3,NULL,NULL,1,Altoona,PA
Eastern Center for Arts and Technology,NULL,0.5,142,1,NULL,NULL,1,Willow Grove,PA
Empire Beauty School-Center City Philadelphia,NULL,NULL,337,3,NULL,NULL,1,Philadelphia,PA
Sanford-Brown Institute-Wilkins Township,NULL,NULL,96,3,NULL,NULL,2,Pittsburgh,PA
Centro de Estudios Multidisciplinarios-Humacao,NULL,NULL,743,2,11666,0.6258,2,Humacao,PR
Colegio Mayor de Tecnologia Inc,NULL,NULL,87,3,NULL,NULL,1,Arroyo,PR
Institucion Chaviano de Mayaguez,NULL,NULL,82,3,NULL,NULL,1,Mayaguez,PR
EDIC College,NULL,0.9001,752,3,9253,NULL,1,Caguas,PR
Liceo de Arte-Dise-O y Comercio,NULL,NULL,325,3,9682,NULL,1,Caguas,PR
Universal Technology College of Puerto Rico,NULL,NULL,1260,2,NULL,0.7145,1,Aguadilla,PR
Academy of Hair Technology,NULL,NULL,84,3,NULL,NULL,1,Greenville,SC
Mr Wayne's School of Unisex Hair Design,NULL,NULL,37,3,NULL,NULL,1,Cookeville,TN
Southern Institute of Cosmetology,NULL,NULL,30,3,NULL,NULL,1,Memphis,TN
Queen City College,NULL,NULL,119,3,NULL,NULL,1,Clarksville,TN
College of the Marshall Islands,NULL,0.7367,988,1,8323,NULL,2,Majuro,MH
American National College,NULL,NULL,102,3,NULL,NULL,1,South Houston,TX
ITT Technical Institute-San Antonio,NULL,0.9303,585,3,26492,0.3727,2,San Antonio,TX
Remington College-Fort Worth Campus,NULL,0.8558,408,2,27701,NULL,1,Fort Worth,TX
University of Cosmetology Arts & Sciences-San Antonio Jamar,NULL,NULL,35,3,NULL,NULL,1,San Antonio,TX
School of Automotive Machinists,NULL,0.8889,156,3,NULL,NULL,1,Houston,TX
SW School of Business and Technical Careers-Cosmetology,NULL,NULL,59,3,NULL,NULL,1,San Antonio,TX
SW School of Business and Technical Careers,NULL,NULL,68,3,NULL,NULL,1,Eagle Pass,TX
Texas College of Cosmetology-Abilene,NULL,NULL,82,3,NULL,NULL,1,Abilene,TX
Vista College-Online,NULL,NULL,207,3,NULL,NULL,1,Clearfield,UT
Centura College-Newport News,NULL,NULL,138,3,28639,NULL,2,Newport News,VA
Centura College-Norfolk,NULL,NULL,260,3,27455,NULL,1,Norfolk,VA
Virginia Beach City Public Schools School of Practical Nursing,NULL,0.625,30,1,NULL,NULL,1,Virginia Beach,VA
Northwest College of Art & Design,NULL,0.8235,94,3,31639,0.3611,3,Poulsbo,WA
University of Washington-Bothell Campus,1014,0.7568,4077,1,22800,0.6757,3,Bothell,WA
University of Washington-Tacoma Campus,963,0.8523,3587,1,22185,0.4943,3,Tacoma,WA
Huntington School of Beauty Culture-Main Campus,NULL,NULL,125,3,NULL,NULL,1,Huntington,WV
Valley College-Beckley,NULL,NULL,223,3,32516,NULL,1,Beckley,WV
Valley College-Martinsburg,NULL,NULL,55,3,NULL,NULL,1,Martinsburg,WV
Valley College-Princeton,NULL,NULL,66,3,NULL,NULL,1,Princeton,WV
Bellus Academy-Poway,NULL,NULL,372,3,NULL,NULL,1,Poway,CA
Capstone College,NULL,NULL,50,3,NULL,NULL,1,Van Nuys,CA
Central Coast College,NULL,0.6454,233,3,NULL,NULL,1,Salinas,CA
ITT Technical Institute-Torrance,NULL,0.9357,457,3,24989,0.2959,2,Torrance,CA
Pacific College of Oriental Medicine-San Diego,NULL,NULL,124,3,24166,0.5,1,San Diego,CA
Artistic Nails and Beauty Academy-Tampa,NULL,NULL,198,3,NULL,NULL,1,Tampa,FL
National Aviation Academy of Tampa Bay,NULL,NULL,692,3,NULL,NULL,1,Clearwater,FL
Sanford-Brown Institute-Tampa,NULL,NULL,317,3,21842,NULL,1,Tampa,FL
Cain's Barber College Inc,NULL,NULL,85,3,NULL,NULL,1,Chicago,IL
Madison Oneida BOCES-Practical Nursing Program,NULL,NULL,51,1,NULL,NULL,1,Verona,NY
Astrodome Career Centers,NULL,NULL,46,3,NULL,NULL,1,Houston,TX
Center for Advanced Legal Studies,NULL,0.3333,125,3,NULL,0.6,2,Houston,TX
Houston Training School-Main Campus,NULL,NULL,177,3,NULL,NULL,1,Houston,TX
Remington College-Houston Campus,NULL,0.7815,354,2,27522,NULL,1,Houston,TX
Bay Mills Community College,NULL,NULL,514,1,11451,NULL,2,Brimley,MI
